CustomerID,JoinDate,Age,Gender,MonthlySpend,TenureMonth,NumTransactions,PaymentMethod,Region,Churn
CUST00001,2024-08-27,58.0,F,1303556,9,48.0,Credit Card,Jabodetabek,Yes
CUST00002,2024-04-04,23.0,,2269613,36,,E-Wallet,Jabodetabek,Yes
CUST00003,2024-01-25,,Male,1315476,49,22.0,E-Wallet,Jawa Tengah,Yes
CUST00004,2025-04-29,56.0,,2076967,60,25.0,E-Wallet,Jawa Barat,No
CUST00005,2023-10-12,65.0,F,0,6,15.0,E-Wallet,Jawa Barat,No
CUST00006,2023-06-17,41.0,F,4471823,42,5.0,Cash,Jawa Tengah,Yes
CUST00007,2023-10-02,58.0,Male,1510140,15,,Debit Card,Jawa Tengah,No
CUST00008,2023-09-10,,,4855315,30,,E-Wallet,,Yes
CUST00009,2023-06-06,,Female,3290102,32,6.0,Cash,Jabodetabek,Yes
CUST00010,2025-02-26,71.0,M,0,36,1.0,Credit Card,Jawa Tengah,No
CUST00011,2025-06-10,,M,4514336,17,33.0,Debit Card,Jawa Barat,Yes
CUST00012,2023-04-25,67.0,M,2374464,39,,E-Wallet,Jawa Barat,Yes
CUST00013,2024-11-06,68.0,F,3179628,32,5.0,Debit Card,Jawa Tengah,Yes
CUST00014,2024-02-13,,M,4948072,49,47.0,Cash,,No
CUST00015,2023-01-08,25.0,Male,418544,38,36.0,Credit Card,Jawa Barat,Yes
CUST00016,2024-07-06,,Female,447197,18,,Cash,Jawa Barat,Yes
CUST00017,2024-04-23,48.0,Male,3203278,28,,Credit Card,Jabodetabek,No
CUST00018,2023-07-07,43.0,M,1192940,35,29.0,Cash,Jawa Barat,No
CUST00019,2023-06-20,72.0,F,3106091,35,1.0,Cash,,Yes
CUST00020,2024-03-09,31.0,,840538,25,,Cash,Jawa Barat,No
CUST00021,2023-02-21,30.0,,4214629,35,,Cash,Jawa Barat,Yes
CUST00022,2023-05-03,21.0,,3143699,5,44.0,Debit Card,Jabodetabek,No
CUST00023,2023-09-29,,F,0,14,,Debit Card,Jawa Tengah,Yes
CUST00024,2024-06-02,47.0,M,3961094,37,7.0,Debit Card,Jawa Tengah,Yes
CUST00025,2024-11-14,,,0,54,,E-Wallet,Jabodetabek,Yes
CUST00026,2025-01-04,26.0,M,4556960,10,,Debit Card,Jawa Tengah,Yes
CUST00027,2023-12-08,,Female,3193563,28,18.0,E-Wallet,Jawa Barat,Yes
CUST00028,2025-05-04,73.0,M,1943848,8,5.0,Debit Card,,Yes
CUST00029,2024-11-13,,Male,1679459,58,23.0,E-Wallet,,Yes
CUST00030,2025-01-24,57.0,M,831581,57,27.0,Cash,Jawa Barat,Yes
CUST00031,2025-04-16,67.0,F,603385,55,31.0,E-Wallet,Jawa Tengah,Yes
CUST00032,2024-10-18,32.0,,0,18,,Cash,Jawa Tengah,No
CUST00033,2025-01-16,,M,0,3,,Cash,Jabodetabek,No
CUST00034,2024-03-17,42.0,Male,3093085,28,1.0,E-Wallet,Jawa Tengah,No
CUST00035,2024-12-14,66.0,M,0,43,,Debit Card,Jawa Barat,No
CUST00036,2023-10-21,,Female,4290828,20,26.0,Cash,Jawa Tengah,No
