Usia,Pendapatan_Bulanan,Status_Pekerjaan,Lama_Bekerja,Status_Pernikahan,Jumlah_Tanggungan,Skor_Kredit,Riwayat_Kredit,Kelayakan_Kredit
,,Kontrak,,BELUM,0,,cukup,Layak
,10.4,,18,Belum Menikah,9,542,,layak
22,,tetap,,Menikah,,,,layak
,16.7,Kontrak,6,menikah,3,589,BURUK,layak
,4.2,,,,1,232,baik,layak
,,,12,menikah,,751,BURUK,
54,6.7,,2,Belum Menikah,,616,baik,TIDAK
,5.3,Kontrak,,menikah,8,480,BURUK,layak
53,,tetap,,Belum Menikah,1,676,cukup,layak
52,22,Tidak Tetap,,Menikah,0,789,Cukup,TIDAK
27,8.9,Tidak Tetap,,menikah,10,461,Baik,layak
,5,Tetap,7,menikah,0,885,Cukup,
,6.5,wirausaha,6,BELUM,9,639,BURUK,Layak
,6.4,Tidak Tetap,34,Belum Menikah,7,636,baik,
,15,Tidak Tetap,26,BELUM,1,484,baik,layak
35,,,12,Belum Menikah,,,Buruk,Layak
54,8.5,Tetap,16,Menikah,,440,Baik,
,,KONTRAK,,menikah,8,,Buruk,TIDAK
41,,Kontrak,2,,7,450,Buruk,Tidak
,,Tetap,,Menikah,1,454,Buruk,layak
,17.3,,8,BELUM,2,,Buruk,Tidak
,7.6,Wiraswasta,2,,7,242,Buruk,Layak
,,wirausaha,19,Belum Menikah,1,540,,Tidak
,21.9,Tidak Tetap,29,menikah,1,397,Buruk,layak
66,,KONTRAK,7,Belum Menikah,4,810,Buruk,layak
,3.5,tetap,1,,7,,Buruk,
41,7.9,wirausaha,,menikah,4,880,BURUK,Tidak
53,20.9,tetap,,,8,,Cukup,
,,KONTRAK,,menikah,1,412,baik,
46,,wirausaha,15,Belum Menikah,5,798,Cukup,
,21.3,Wiraswasta,,,,,baik,
,13.2,tetap,,Belum Menikah,2,765,Buruk,layak
41,,Wiraswasta,4,BELUM,10,612,,TIDAK
,,wirausaha,0,menikah,,,Cukup,TIDAK
34,,wirausaha,5,,6,,Baik,Layak
25,6.9,Tidak Tetap,20,BELUM,9,283,Baik,
24,,Tetap,0,Menikah,4,,Baik,
,,Kontrak,5,,,584,BURUK,Tidak
,,tetap,,Menikah,10,738,cukup,layak
43,,,4,,,751,baik,TIDAK
34,13.1,tetap,15,,9,706,Cukup,TIDAK
39,,tetap,,Belum Menikah,,,,Tidak
,8.4,tetap,,Belum Menikah,10,,Buruk,TIDAK
38,7.1,Tidak Tetap,12,Menikah,,494,BURUK,TIDAK
,13.4,Kontrak,6,menikah,1,762,Buruk,Layak
52,3.6,Kontrak,18,BELUM,3,458,Baik,Layak
46,9.5,Wiraswasta,18,Belum Menikah,10,,Cukup,
45,14.9,tetap,,Menikah,7,738,Cukup,Tidak
56,,,9,menikah,,840,BURUK,Tidak
,9.7,wirausaha,3,Belum Menikah,2,369,cukup,
39,8,tetap,34,BELUM,0,,Buruk,Layak
,12.9,tetap,18,BELUM,9,799,BURUK,TIDAK
47,7.3,Wiraswasta,,BELUM,,418,Buruk,layak
24,13.2,,13,,10,720,Cukup,layak
25,7.7,Tetap,,Belum Menikah,2,682,Cukup,Layak
,,tetap,17,BELUM,7,348,Cukup,
53,7.3,KONTRAK,16,menikah,,875,,Tidak
51,,wirausaha,14,Belum Menikah,4,838,Buruk,TIDAK
,12.3,,,,6,738,Baik,Tidak
47,19.6,KONTRAK,,Menikah,10,,,TIDAK
,16,Tidak Tetap,2,Menikah,,553,Buruk,Layak
39,6.5,Wiraswasta,5,,,,Cukup,Tidak
57,16.8,tetap,17,BELUM,10,,Buruk,TIDAK
29,3.1,KONTRAK,,menikah,9,,,Layak
64,12.8,KONTRAK,,menikah,,,Baik,layak
,3.7,KONTRAK,13,Belum Menikah,,656,Buruk,TIDAK
64,12.5,Wiraswasta,,menikah,0,535,baik,layak
54,12.7,Tidak Tetap,,,2,,,TIDAK
58,3.5,tetap,15,Belum Menikah,7,,BURUK,
,,Kontrak,26,Menikah,5,627,,layak
60,24.5,Tetap,12,Menikah,,,cukup,Layak
67,,Tidak Tetap,2,,7,,Baik,layak
,,Tetap,0,Belum Menikah,4,489,Cukup,TIDAK
,11.5,Kontrak,14,,10,634,Baik,TIDAK
,18,Kontrak,,Belum Menikah,7,,cukup,layak
,12.9,Kontrak,,Belum Menikah,3,547,baik,TIDAK
37,6.1,,2,Menikah,,778,cukup,Layak
,3.5,wirausaha,,menikah,,659,BURUK,TIDAK
23,9.5,Tidak Tetap,,,5,,Buruk,Layak
,23.1,Tetap,,BELUM,,724,BURUK,
41,4.4,KONTRAK,18,Belum Menikah,1,283,baik,TIDAK
55,,Kontrak,11,menikah,10,883,Baik,Tidak
46,2.1,Wiraswasta,18,Menikah,,620,baik,
,12.8,wirausaha,1,BELUM,,787,BURUK,TIDAK
24,,,5,Menikah,,605,baik,layak
31,,Kontrak,16,menikah,2,349,Cukup,Tidak
,,,,,10,842,Cukup,TIDAK
47,,Tetap,11,menikah,3,577,Baik,Layak
,,Tetap,12,,3,431,,layak
,6.6,,,Belum Menikah,8,618,BURUK,
,10.4,wirausaha,,,1,698,Buruk,layak
,,wirausaha,20,,,218,Buruk,Tidak
38,4.5,Kontrak,,,5,,Cukup,
45,,Wiraswasta,2,menikah,7,,,TIDAK
35,20.3,Tidak Tetap,28,menikah,,614,,
29,,Kontrak,7,Menikah,8,350,Baik,Tidak
49,10.2,Tidak Tetap,5,Belum Menikah,0,,Buruk,Tidak
19,13.9,,14,Menikah,2,,cukup,TIDAK
66,5.1,wirausaha,20,Menikah,,,cukup,Tidak
35,,wirausaha,,menikah,,,Baik,TIDAK
,,Tetap,4,Belum Menikah,,776,Baik,layak
,19.6,,20,Menikah,5,550,,Tidak
37,,,,Belum Menikah,2,871,Buruk,Layak
44,22.4,KONTRAK,,BELUM,10,,baik,Layak
48,9.1,KONTRAK,19,,5,654,baik,Layak
56,5.6,Kontrak,25,,5,,,TIDAK
23,16.3,wirausaha,,Belum Menikah,9,590,cukup,Tidak
40,6.1,Tetap,,BELUM,6,,baik,Tidak
,13.9,Wiraswasta,2,BELUM,,577,cukup,
39,,Wiraswasta,11,Menikah,1,804,Buruk,
40,,Kontrak,19,BELUM,9,821,Cukup,layak
45,,Wiraswasta,,Menikah,0,555,Buruk,Tidak
50,,tetap,,,,,Cukup,Tidak
,6.4,Tetap,,,,,Baik,TIDAK
,,wirausaha,9,Menikah,9,647,Buruk,
,24.7,wirausaha,,,0,325,baik,Tidak
30,,wirausaha,10,,5,363,cukup,TIDAK
36,,,,menikah,6,,BURUK,TIDAK
39,11.1,KONTRAK,12,BELUM,,,Buruk,Layak
49,,Kontrak,6,menikah,10,786,cukup,
46,3.9,,16,,7,713,baik,
54,13,tetap,1,menikah,6,,,Layak
47,,Tidak Tetap,1,,10,475,Baik,
28,10.8,Tidak Tetap,,BELUM,,470,cukup,layak
50,,KONTRAK,,menikah,4,,Buruk,Tidak
66,17.4,KONTRAK,,menikah,,756,baik,layak
30,18,,,BELUM,,,Buruk,Tidak
,,Tidak Tetap,20,Menikah,,,,Tidak
21,23.4,,12,menikah,2,733,cukup,Layak
32,1.4,,5,Menikah,,543,baik,
54,13.1,Kontrak,,BELUM,,,Buruk,layak
57,21.5,wirausaha,16,BELUM,5,688,Cukup,Layak
37,7,tetap,0,menikah,5,321,Buruk,Tidak
,22.3,Kontrak,18,,1,356,BURUK,
,,Tidak Tetap,,BELUM,4,688,,
,,,,,,256,Cukup,
,11.8,Tetap,12,Belum Menikah,4,,Baik,
21,2.4,wirausaha,24,BELUM,,738,BURUK,layak
,7.1,Tetap,19,,10,821,baik,layak
30,14.2,Tetap,13,Belum Menikah,,,BURUK,Layak
36,7.2,Tetap,32,Belum Menikah,10,,,layak
36,13.3,tetap,,,,,baik,Layak
,,wirausaha,9,BELUM,10,430,,Tidak
,,Wiraswasta,15,Belum Menikah,6,833,cukup,Tidak
34,10.8,Tidak Tetap,18,BELUM,8,407,BURUK,Layak
,9.9,KONTRAK,24,,8,,baik,TIDAK
,8.1,KONTRAK,10,,1,,cukup,TIDAK
39,6.3,,21,BELUM,9,950,Cukup,Tidak
55,,Tetap,16,Menikah,0,831,Baik,Tidak
,,,15,,4,,Buruk,
,12.6,Kontrak,3,Belum Menikah,,562,,TIDAK
40,,Tidak Tetap,,Menikah,9,765,Baik,Layak
22,16.3,Kontrak,16,Belum Menikah,10,538,BURUK,layak
,23.3,Tetap,,BELUM,0,,,TIDAK
38,,Kontrak,16,Menikah,3,,cukup,TIDAK
,24.8,Tidak Tetap,35,BELUM,,,Buruk,Tidak
22,,Wiraswasta,20,Menikah,6,568,Baik,Tidak
28,14.1,Kontrak,5,,,532,Baik,layak
47,11.4,Wiraswasta,12,menikah,8,474,baik,layak
36,12.2,,12,Menikah,1,,baik,layak
38,,Wiraswasta,,Belum Menikah,3,526,BURUK,TIDAK
57,7.4,KONTRAK,,,1,,Cukup,TIDAK
,21.3,,4,menikah,,616,baik,
54,,wirausaha,2,,4,,BURUK,layak
,,wirausaha,10,Menikah,0,,cukup,
45,,Wiraswasta,1,Menikah,2,459,Buruk,layak
42,8.8,,14,menikah,0,,Baik,Tidak
36,8.6,,,Belum Menikah,9,414,baik,
48,,Kontrak,,Belum Menikah,2,316,BURUK,TIDAK
57,,Kontrak,22,,,,Cukup,layak
32,3.5,wirausaha,,BELUM,7,,BURUK,Tidak
27,5.1,Tetap,0,Belum Menikah,,868,baik,TIDAK
62,8.4,Tidak Tetap,2,Belum Menikah,4,,BURUK,TIDAK
56,,KONTRAK,,BELUM,7,452,Buruk,Layak
33,13.2,Tidak Tetap,,,5,715,,Tidak
53,8.9,KONTRAK,,menikah,4,784,Buruk,Tidak
29,,wirausaha,,menikah,9,,,Layak
,23.4,,,Menikah,,,BURUK,layak
,7.2,,20,menikah,4,696,BURUK,Layak
,12.2,Wiraswasta,14,BELUM,,362,Baik,layak
22,10.6,wirausaha,,Belum Menikah,,448,baik,Layak
29,8.8,KONTRAK,,Belum Menikah,3,,,Layak
37,13.5,Wiraswasta,,Menikah,7,579,BURUK,Tidak
,7.8,Wiraswasta,24,BELUM,2,541,Cukup,
,,Tetap,,,,,Baik,Tidak
52,5.1,Tetap,11,BELUM,9,679,,TIDAK
,2.9,Tetap,32,,,,cukup,
26,3.1,Wiraswasta,20,,6,,,Tidak
24,,Tetap,9,Menikah,,367,Buruk,
,,tetap,1,BELUM,2,,BURUK,Layak
,,Wiraswasta,10,Menikah,4,779,Baik,Layak
19,6.7,Tetap,17,menikah,,563,cukup,layak
,,Tetap,4,menikah,2,683,Buruk,Tidak
53,6.4,,6,Belum Menikah,0,754,BURUK,Layak
,18.6,Kontrak,6,BELUM,3,764,Baik,Tidak
,,Kontrak,,Belum Menikah,5,703,baik,Tidak
35,23.2,KONTRAK,28,Belum Menikah,0,799,Cukup,Layak
45,3.5,Tidak Tetap,19,menikah,0,902,,
30,17.9,wirausaha,,menikah,2,,BURUK,
23,3.3,Tetap,1,Belum Menikah,,722,cukup,
37,,,5,Menikah,0,787,,TIDAK
