,Customer_ID,Age,Annual_Income,Spending_Score,Transactions,Region,Payment_Method,Last_Purchase
0,CUST001,55,71,2,57,Bekasi,E-Wallet,239
1,CUST002,45,115,1,62,Depok,E-Wallet,110
2,CUST003,31,151,48,61,Jakarta,E-Wallet,
3,CUST004,59,241,12,21,Bekasi,E-Wallet,150
4,CUST005,24,248,,999,Jakarta,Transfer,182
5,CUST006,37,170,37,57,Depok,Transfer,335
6,CUST007,55,162,32,48,Bekasi,COD,94
7,CUST008,35,190,9,51,Jakarta,E-Wallet,7
8,CUST009,39,48,99,41,Depok,COD,359
9,CUST010,27,55,19,69,Jakarta,Transfer,183
10,CUST011,27,32,48,14,Jakarta,Transfer,280
11,CUST012,,179,,53,Bandung,Transfer,194
12,CUST013,52,90,3,59,Bandung,Transfer,351
13,CUST014,56,206,20,7,Depok,Transfer,194
14,CUST015,40,105,24,52,Bandung,Transfer,
15,CUST016,,47,54,59,Depok,Transfer,
16,CUST017,38,85,33,4,Bandung,E-Wallet,159
17,CUST018,18,189,24,67,Jakarta,COD,60
18,CUST019,40,64,75,5,Depok,Transfer,121
19,CUST020,60,81,72,46,Depok,E-Wallet,50
20,CUST021,,204,36,54,Jakarta,E-Wallet,276
21,CUST022,54,153,38,39,Depok,COD,4
22,CUST023,18,47,84,-3,Depok,Transfer,91
23,CUST024,37,47,99,15,Bandung,COD,169
24,CUST025,49,127,89,12,Depok,Transfer,316
25,CUST026,28,63,99,29,Bekasi,E-Wallet,21
26,CUST027,38,103,25,18,Jakarta,E-Wallet,325
27,CUST028,60,49,93,16,Bandung,E-Wallet,0
28,CUST029,41,209,18,62,Bandung,E-Wallet,132
29,CUST030,43,94,82,18,Bekasi,COD,232
30,CUST031,58,147,66,57,Jakarta,Transfer,11
31,CUST032,44,111,54,54,Jakarta,Transfer,345
32,CUST033,32,236,35,61,Bandung,COD,45
33,CUST034,31,209,80,22,Depok,Transfer,33
34,CUST035,63,244,61,8,Bandung,E-Wallet,77
35,CUST036,60,1000,41,11,Jakarta,Transfer,217
36,CUST037,19,140,33,0,Bekasi,E-Wallet,300
37,CUST038,53,46,68,57,Bandung,COD,72
38,CUST039,23,209,,0,Jakarta,Transfer,281
39,CUST040,37,140,14,33,Bandung,COD,248
40,CUST041,25,135,21,47,Depok,Transfer,46
41,CUST042,55,224,48,0,Bandung,E-Wallet,120
42,CUST043,,22,20,15,Bandung,COD,213
43,CUST044,20,122,,60,Jakarta,Transfer,238
44,CUST045,41,217,7,63,Jakarta,E-Wallet,55
45,CUST046,30,219,67,62,Jakarta,COD,349
46,CUST047,25,174,17,68,Bandung,COD,106
47,CUST048,42,156,33,21,Depok,Transfer,318
48,CUST049,18,81,48,66,Bekasi,Transfer,47
49,CUST050,36,184,76,75,Bekasi,Transfer,60
50,CUST051,44,244,59,25,Jakarta,E-Wallet,336
51,CUST052,63,70,86,15,Jakarta,Transfer,25
52,CUST053,23,191,22,50,Bandung,COD,291
53,CUST054,,171,30,56,Bekasi,COD,256
54,CUST055,,226,38,28,Jakarta,Transfer,7
55,CUST056,63,78,51,77,Depok,Transfer,112
56,CUST057,51,137,54,68,Depok,COD,354
57,CUST058,30,179,8,46,Jakarta,E-Wallet,252
58,CUST059,33,115,27,61,Jakarta,Transfer,179
59,CUST060,52,235,27,68,Bekasi,Transfer,206
60,CUST061,56,199,,75,Bekasi,COD,302
61,CUST062,20,132,21,15,Bandung,Transfer,126
62,CUST063,18,81,30,47,Bekasi,E-Wallet,55
63,CUST064,22,600,97,38,Depok,COD,213
64,CUST065,120,71,28,32,Depok,Transfer,13
65,CUST066,20,31,64,22,Jakarta,COD,27
66,CUST067,,58,97,9,Bekasi,Transfer,77
67,CUST068,34,149,69,68,Bandung,Transfer,215
68,CUST069,42,150,61,33,Depok,Transfer,364
69,CUST070,60,132,48,51,Depok,E-Wallet,153
70,CUST071,50,120,19,9,Bandung,E-Wallet,13
71,CUST072,26,132,4,18,Bandung,COD,186
72,CUST073,52,203,35,57,Depok,Transfer,311
73,CUST074,30,100,64,0,Depok,Transfer,6
74,CUST075,47,206,49,68,Bandung,E-Wallet,2
75,CUST076,64,800,17,3,Depok,Transfer,110
76,CUST077,31,21,44,15,Jakarta,E-Wallet,
77,CUST078,24,149,92,23,Jakarta,Transfer,362
78,CUST079,30,239,30,79,Bandung,COD,
79,CUST080,39,73,93,1,Bekasi,Transfer,
80,CUST081,56,106,46,31,Bandung,Transfer,293
81,CUST082,37,248,6,23,Bandung,E-Wallet,226
82,CUST083,32,243,99,11,Bekasi,Transfer,14
83,CUST084,0,244,,49,Bekasi,Transfer,191
84,CUST085,34,148,24,34,Bekasi,E-Wallet,118
85,CUST086,63,166,93,32,Jakarta,COD,27
86,CUST087,40,145,46,32,Depok,COD,201
87,CUST088,,149,53,60,Jakarta,E-Wallet,38
88,CUST089,,72,95,50,Depok,E-Wallet,
89,CUST090,61,191,99,42,Jakarta,E-Wallet,230
90,CUST091,,237,60,11,Depok,E-Wallet,85
